iter	Passed	Remaining
0	1	119
1	2	112
2	3	107
3	4	108
4	5	107
5	8	130
6	9	123
7	10	115
8	10	110
9	11	105
10	13	107
11	14	103
12	14	99
13	15	96
14	16	93
15	17	91
16	18	88
17	19	86
18	19	84
19	20	82
20	28	105
21	29	103
22	29	100
23	30	97
24	31	94
25	32	92
26	33	89
27	34	87
28	34	85
29	35	83
30	36	81
31	37	80
32	38	78
33	39	76
34	40	75
35	41	73
36	42	71
37	43	70
38	44	69
39	45	67
40	45	66
41	46	63
42	46	62
43	47	60
44	48	59
45	49	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	51
51	54	50
52	55	49
53	56	48
54	56	46
55	57	45
56	59	44
57	60	43
58	60	42
59	61	41
60	62	39
61	63	38
62	64	37
63	65	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	91	3
96	92	2
97	93	1
98	94	0
99	95	0
