iter	Passed	Remaining
0	180	180601
1	182	90887
2	183	60884
3	184	45879
4	191	38042
5	192	31843
6	193	27445
7	194	24120
8	195	21531
9	196	19459
10	197	17764
11	198	16361
12	205	15626
13	207	14584
14	242	15913
15	243	14977
16	244	14142
17	245	13398
18	246	12733
19	253	12442
20	255	11890
21	256	11383
22	257	10920
23	258	10495
24	259	10105
25	260	9743
26	261	9409
27	262	9101
28	269	9010
29	270	8737
30	271	8478
31	272	8235
32	273	8008
33	274	7793
34	275	7590
35	276	7399
36	277	7221
37	288	7294
38	289	7130
39	292	7027
40	300	7039
41	302	6888
42	303	6745
43	304	6607
44	305	6477
45	306	6355
46	307	6238
47	308	6122
48	309	6012
49	311	5912
50	312	5810
51	313	5719
52	314	5623
53	315	5531
54	316	5442
55	317	5357
56	318	5275
57	325	5294
58	327	5215
59	328	5138
60	329	5065
61	330	4993
62	331	4924
63	332	4856
64	333	4791
65	394	5577
66	395	5502
67	396	5431
68	397	5360
69	398	5295
70	399	5228
71	400	5163
72	407	5175
73	408	5113
74	409	5052
75	410	4992
76	411	4934
77	413	4889
78	414	4835
79	415	4782
80	422	4799
81	424	4747
82	424	4689
83	425	4639
84	426	4591
85	427	4546
86	428	4499
87	429	4454
88	430	4409
89	431	4365
90	438	4385
91	440	4342
92	528	5153
93	529	5103
94	530	5054
95	538	5066
96	539	5018
97	540	4971
98	541	4924
99	542	4878
100	543	4833
101	544	4790
102	545	4747
103	546	4705
104	553	4718
105	554	4678
106	555	4637
107	556	4598
108	557	4559
109	558	4520
110	559	4482
111	560	4445
112	561	4408
113	562	4373
114	569	4385
115	570	4350
116	571	4313
117	572	4279
118	573	4246
119	574	4213
120	604	4391
121	605	4356
122	606	4323
123	607	4291
124	608	4258
125	609	4227
126	618	4251
127	619	4222
128	620	4191
129	621	4162
130	622	4132
131	623	4103
132	625	4074
133	626	4046
134	627	4020
135	628	3992
136	629	3965
137	630	3938
138	631	3911
139	639	3926
140	640	3900
141	642	3880
142	643	3855
143	644	3830
144	645	3807
145	646	3783
146	663	3850
147	665	3831
148	672	3842
149	673	3818
150	674	3794
151	675	3770
152	676	3747
153	677	3724
154	680	3711
155	681	3689
156	688	3698
157	689	3676
158	690	3654
159	691	3632
160	692	3608
161	693	3589
162	694	3568
163	695	3547
164	696	3526
165	697	3506
166	704	3515
167	705	3495
168	706	3475
169	802	3920
170	804	3900
171	805	3878
172	806	3856
173	807	3834
174	808	3812
175	809	3791
176	810	3769
177	811	3748
178	812	3727
179	813	3707
180	814	3687
181	816	3667
182	817	3647
183	906	4020
184	907	3998
185	908	3976
186	909	3954
187	910	3932
188	911	3911
189	919	3919
190	920	3900
191	922	3880
192	923	3859
193	924	3839
194	925	3818
195	926	3799
196	927	3779
197	934	3786
198	935	3766
199	936	3747
200	937	3728
201	940	3716
202	941	3697
203	943	3681
204	950	3687
205	951	3669
206	952	3650
207	954	3635
208	955	3617
209	956	3599
210	1018	3810
211	1020	3791
212	1021	3772
213	1022	3754
214	1023	3736
215	1024	3717
216	1031	3721
217	1032	3704
218	1033	3687
219	1034	3669
220	1035	3651
221	1037	3635
222	1038	3618
223	1039	3601
224	1040	3584
225	1047	3587
226	1048	3570
227	1049	3553
228	1050	3537
229	1051	3520
230	1054	3511
231	1065	3526
232	1067	3515
233	1069	3501
234	1100	3582
235	1101	3566
236	1102	3549
237	1103	3533
238	1104	3517
239	1112	3524
240	1114	3508
241	1115	3492
242	1115	3476
243	1117	3460
244	1118	3445
245	1119	3429
246	1120	3414
247	1127	3417
248	1128	3402
249	1129	3388
250	1130	3373
251	1131	3358
252	1132	3343
253	1133	3328
254	1134	3314
255	1135	3299
256	1136	3285
257	1143	3290
258	1145	3275
259	1146	3261
260	1147	3247
261	1163	3276
262	1192	3341
263	1196	3334
264	1210	3356
265	1211	3341
266	1212	3327
267	1213	3313
268	1214	3299
269	1215	3285
270	1222	3288
271	1223	3274
272	1224	3260
273	1225	3247
274	1226	3233
275	1227	3220
276	1228	3206
277	1229	3193
278	1230	3180
279	1238	3184
280	1239	3171
281	1240	3158
282	1241	3145
283	1242	3132
284	1243	3119
285	1244	3107
286	1277	3174
287	1279	3163
288	1286	3165
289	1287	3152
290	1288	3139
291	1289	3127
292	1290	3114
293	1291	3101
294	1293	3090
295	1294	3077
296	1295	3065
297	1302	3067
298	1303	3056
299	1304	3044
300	1305	3032
301	1306	3020
302	1308	3010
303	1309	2999
304	1311	2987
305	1312	2975
306	1313	2964
307	1314	2952
308	1315	2941
309	1322	2942
310	1323	2931
311	1324	2920
312	1325	2908
313	1326	2898
314	1327	2887
315	1328	2876
316	1412	3042
317	1413	3030
318	1414	3019
319	1422	3022
320	1423	3010
321	1424	2999
322	1425	2987
323	1426	2975
324	1427	2964
325	1428	2953
326	1429	2941
327	1437	2944
328	1438	2934
329	1439	2923
330	1440	2911
331	1441	2900
332	1442	2889
333	1443	2878
334	1444	2867
335	1445	2856
336	1453	2859
337	1454	2849
338	1455	2838
339	1456	2827
340	1457	2817
341	1458	2806
342	1459	2795
343	1541	2939
344	1542	2929
345	1543	2917
346	1550	2917
347	1551	2907
348	1552	2896
349	1553	2885
350	1554	2874
351	1556	2865
352	1557	2854
353	1558	2843
354	1559	2833
355	1560	2823
